image_name,pixel_accuracy,crop_iou,crop_precision,crop_recall,crop_f1,weed_iou,weed_precision,weed_recall,weed_f1
1461247610_547530843,0.9999,0.7542,0.8088,0.9179,0.8599,0.0000,0.0000,0.0000,0.0000
1461247611_547541576,0.9998,0.4483,0.4555,0.9657,0.6190,0.0000,0.0000,0.0000,0.0000
1461247613_547598412,0.9999,0.7139,0.8022,0.8665,0.8331,0.0000,0.0000,0.0000,0.0000
1461247614_547611902,0.9998,0.4171,0.4204,0.9817,0.5887,0.0000,0.0000,0.0000,0.0000
1461247615_547621402,0.9999,0.7224,0.8122,0.8672,0.8388,0.0000,0.0000,0.0000,0.0000
1461247616_547630793,0.9999,0.7102,0.8016,0.8617,0.8306,0.0000,0.0000,0.0000,0.0000
1461247617_547645731,0.9998,0.3890,0.3921,0.9803,0.5602,0.0000,0.0000,0.0000,0.0000
1461247618_547661965,0.9998,0.4040,0.4060,0.9878,0.5755,0.0000,0.0000,0.0000,0.0000
1461247619_547674843,0.9998,0.3995,0.4036,0.9752,0.5709,0.0000,0.0000,0.0000,0.0000
1461247620_547687766,0.9998,0.4423,0.4423,1.0000,0.6133,0.0000,0.0000,0.0000,0.0000
1461247621_548628690,0.9998,0.4305,0.4399,0.9527,0.6019,0.0000,0.0000,0.0000,0.0000
1461247622_547698839,0.9998,0.4263,0.4343,0.9586,0.5978,0.0000,0.0000,0.0000,0.0000
1461247623_547745049,0.9999,0.7043,0.7919,0.8643,0.8265,0.0000,0.0000,0.0000,0.0000
1461247624_547756183,0.9999,0.7384,0.8117,0.8911,0.8495,0.0000,0.0000,0.0000,0.0000
1461247625_547772325,0.9998,0.3762,0.3907,0.9102,0.5468,0.0000,0.0000,0.0000,0.0000
1461247626_547781416,0.9998,0.4099,0.4187,0.9515,0.5815,0.0000,0.0000,0.0000,0.0000
1461247627_547811658,0.9998,0.4316,0.4363,0.9758,0.6030,0.0000,0.0000,0.0000,0.0000
1461247629_547820276,0.9998,0.4533,0.4598,0.9697,0.6238,0.0000,0.0000,0.0000,0.0000
1461247630_547845892,0.9998,0.3995,0.4171,0.9042,0.5709,0.0000,0.0000,0.0000,0.0000
1461247631_547843349,0.9998,0.4058,0.4189,0.9281,0.5773,0.0000,0.0000,0.0000,0.0000
1461247632_547853362,0.9998,0.4199,0.4301,0.9467,0.5915,0.0000,0.0000,0.0000,0.0000
1461247633_547880070,0.9999,0.4670,0.4738,0.9702,0.6367,0.0000,0.0000,0.0000,0.0000
1461247634_547906992,0.9998,0.4100,0.4205,0.9425,0.5816,0.0000,0.0000,0.0000,0.0000
1461247636_547933387,0.9998,0.4229,0.4297,0.9636,0.5944,0.0000,0.0000,0.0000,0.0000
1461247637_547947465,0.9999,0.7387,0.7974,0.9094,0.8497,0.0000,0.0000,0.0000,0.0000
1461247638_547964450,0.9998,0.4227,0.4316,0.9535,0.5942,0.0000,0.0000,0.0000,0.0000
1461247639_547954295,0.9998,0.4231,0.4413,0.9112,0.5946,0.0000,0.0000,0.0000,0.0000
1461247640_547979135,0.9998,0.4387,0.4472,0.9583,0.6098,0.0000,0.0000,0.0000,0.0000
1461247641_547988721,0.9998,0.4435,0.4460,0.9877,0.6145,0.0000,0.0000,0.0000,0.0000
1461247642_548000641,0.9998,0.4092,0.4156,0.9639,0.5808,0.0000,0.0000,0.0000,0.0000
1461247643_548014662,0.9998,0.3929,0.4052,0.9286,0.5642,0.0000,0.0000,0.0000,0.0000
1461247644_548029539,0.9998,0.4378,0.4438,0.9701,0.6090,0.0000,0.0000,0.0000,0.0000
1461247645_548070275,0.9998,0.4244,0.4336,0.9524,0.5959,0.0000,0.0000,0.0000,0.0000
1461247646_548082940,0.9998,0.3894,0.4026,0.9226,0.5606,0.0000,0.0000,0.0000,0.0000
1461247647_548100512,0.9998,0.4041,0.4136,0.9461,0.5756,0.0000,0.0000,0.0000,0.0000
1461247648_548107939,0.9998,0.4075,0.4116,0.9760,0.5790,0.0000,0.0000,0.0000,0.0000
1461247649_548121864,0.9998,0.4246,0.4278,0.9826,0.5961,0.0000,0.0000,0.0000,0.0000
1461247650_548136056,0.9998,0.4142,0.4243,0.9458,0.5858,0.0000,0.0000,0.0000,0.0000
1461247651_548148136,0.9998,0.4133,0.4230,0.9474,0.5848,0.0000,0.0000,0.0000,0.0000
1461247652_548152585,0.9999,0.4810,0.4896,0.9649,0.6496,0.0000,0.0000,0.0000,0.0000
1461247654_548179587,1.0000,0.8630,0.9173,0.9357,0.9264,0.0000,0.0000,0.0000,0.0000
1461247655_548190719,1.0000,0.7387,0.7489,0.9820,0.8497,0.0000,0.0000,0.0000,0.0000
1461247656_548235900,1.0000,0.8325,0.8677,0.9535,0.9086,0.0000,0.0000,0.0000,0.0000
1461247659_548266823,0.9999,0.8095,0.8095,1.0000,0.8947,0.0000,0.0000,0.0000,0.0000
1461247660_548294850,0.9999,0.8429,0.8822,0.9498,0.9147,0.0000,0.0000,0.0000,0.0000
1461247661_548305391,0.9998,0.4527,0.4527,1.0000,0.6233,0.0000,0.0000,0.0000,0.0000
1461247665_548356250,1.0000,0.8700,0.8818,0.9848,0.9305,0.0000,0.0000,0.0000,0.0000
1461247666_549978079,1.0000,0.8511,0.8511,1.0000,0.9195,0.0000,0.0000,0.0000,0.0000
1461247670_548429744,0.9999,0.0392,1.0000,0.0392,0.0755,0.0000,0.0000,0.0000,0.0000
1461247692_548756281,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247698_548830208,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247699_549544389,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247700_548879020,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247760_549754283,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247765_549856989,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247771_549927035,1.0000,0.7740,0.7740,1.0000,0.8726,0.0000,0.0000,0.0000,0.0000
1461247773_551621305,0.9999,0.6288,0.7509,0.7946,0.7721,0.0000,0.0000,0.0000,0.0000
1461247775_549973873,1.0000,0.8990,0.9397,0.9541,0.9468,0.0000,0.0000,0.0000,0.0000
1461247776_550036059,1.0000,0.8093,0.8406,0.9560,0.8946,0.0000,0.0000,0.0000,0.0000
1461247779_550052983,1.0000,0.9091,0.9290,0.9770,0.9524,0.0000,0.0000,0.0000,0.0000
1461247780_550056972,1.0000,0.7345,0.9774,0.7471,0.8469,0.0000,0.0000,0.0000,0.0000
1461247806_550435376,0.9999,0.4950,0.5208,0.9091,0.6623,0.0000,0.0000,0.0000,0.0000
1461247809_550513762,1.0000,0.7750,0.7789,0.9936,0.8732,0.0000,0.0000,0.0000,0.0000
1461671136_16770475,0.9998,0.9126,0.9435,0.9653,0.9543,0.2000,1.0000,0.2000,0.3333
1461671137_16785602,0.9998,0.6210,0.9353,0.6489,0.7662,0.0000,0.0000,0.0000,0.0000
1461671138_16815099,1.0000,0.8807,0.9337,0.9394,0.9366,0.0000,0.0000,0.0000,0.0000
1461671139_16826345,0.9998,0.7117,0.9184,0.7597,0.8316,0.0000,0.0000,0.0000,0.0000
1461671140_16833780,0.9998,0.7543,0.8582,0.8617,0.8599,0.0000,0.0000,0.0000,0.0000
1461671141_16874347,0.9997,0.6304,0.9266,0.6635,0.7733,0.0000,0.0000,0.0000,0.0000
1461671142_16857347,0.9996,0.7492,0.8808,0.8336,0.8566,0.0000,0.0000,0.0000,0.0000
1461671143_16761298,0.9998,0.5969,0.8753,0.6524,0.7476,0.0000,0.0000,0.0000,0.0000
1461671144_16827416,0.9999,0.7816,0.9824,0.7927,0.8774,0.0000,0.0000,0.0000,0.0000
1461671145_16756045,0.9992,0.5793,0.9486,0.5981,0.7336,0.0000,0.0000,0.0000,0.0000
1461671146_16861659,0.9996,0.6955,0.9317,0.7328,0.8204,0.0000,0.0000,0.0000,0.0000
